Run,Assay Type,AvgSpotLen,Bases,BIOMATERIAL_PROVIDER,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Ecotype,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex_phenotype,sex_genotype,SRA Study,tissue
SRR19221340,WGS,302,7240746262,"Jon Mee\, Mount Royal University",PRJNA838068,SAMN28402699,Model organism or animal,3023114174,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,unspined,SRX15285170,Canada,North America,"Canada: Alberta\, Muir Lake",HiSeq X Ten,MUI027,MUI_027,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2022-08-31T00:00:00Z,2022-05-16T11:48:00Z,1,MUI_027,female,F,SRP375369,caudal fin
SRR19221339,WGS,302,6995357974,"Jon Mee\, Mount Royal University",PRJNA838068,SAMN28402700,Model organism or animal,2928553581,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,unspined,SRX15285171,Canada,North America,"Canada: Alberta\, Muir Lake",HiSeq X Ten,MUI028,MUI_028,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2022-08-31T00:00:00Z,2022-05-16T11:50:00Z,1,MUI_028,female,F,SRP375369,caudal fin
SRR19221338,WGS,302,6952136338,"Jon Mee\, Mount Royal University",PRJNA838068,SAMN28402701,Model organism or animal,2901329898,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,spined,SRX15285172,Canada,North America,"Canada: Alberta\, Muir Lake",HiSeq X Ten,MUI029,MUI_029,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2022-08-31T00:00:00Z,2022-05-16T11:58:00Z,1,MUI_029,male,M,SRP375369,caudal fin
SRR19221337,WGS,302,6285504558,"Jon Mee\, Mount Royal University",PRJNA838068,SAMN28402702,Model organism or animal,2594084534,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,unspined,SRX15285173,Canada,North America,"Canada: Alberta\, Muir Lake",HiSeq X Ten,MUI030,MUI_030,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2022-08-31T00:00:00Z,2022-05-16T12:01:00Z,1,MUI_030,male,F,SRP375369,caudal fin
SRR19221336,WGS,302,6941081628,"Jon Mee\, Mount Royal University",PRJNA838068,SAMN28402703,Model organism or animal,2879797506,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,spined,SRX15285174,Canada,North America,"Canada: Alberta\, Muir Lake",HiSeq X Ten,MUI032,MUI_032,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2022-08-31T00:00:00Z,2022-05-16T12:23:00Z,1,MUI_032,female,F,SRP375369,caudal fin
SRR19221335,WGS,302,10387331676,"Jon Mee\, Mount Royal University",PRJNA838068,SAMN28402704,Model organism or animal,3396340681,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,unspined,SRX15285175,Canada,North America,"Canada: Alberta\, Muir Lake",Illumina NovaSeq 6000,MUI033,MUI_033,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2022-08-31T00:00:00Z,2022-05-16T11:58:00Z,1,MUI_033,male,M,SRP375369,caudal fin
SRR19221334,WGS,302,9541051270,"Jon Mee\, Mount Royal University",PRJNA838068,SAMN28402705,Model organism or animal,3112111955,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,unspined,SRX15285176,Canada,North America,"Canada: Alberta\, Muir Lake",Illumina NovaSeq 6000,MUI034,MUI_034,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2022-08-31T00:00:00Z,2022-05-16T11:54:00Z,1,MUI_034,male,M,SRP375369,caudal fin
SRR19221332,WGS,302,7178333432,"Jon Mee\, Mount Royal University",PRJNA838068,SAMN28402706,Model organism or animal,2990092663,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,spined,SRX15285178,Canada,North America,"Canada: Alberta\, Muir Lake",HiSeq X Ten,MUI035,MUI_035,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2022-08-31T00:00:00Z,2022-05-16T11:55:00Z,1,MUI_035,male,F,SRP375369,caudal fin
SRR19221331,WGS,302,7199207974,"Jon Mee\, Mount Royal University",PRJNA838068,SAMN28402707,Model organism or animal,3015327220,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,spined,SRX15285179,Canada,North America,"Canada: Alberta\, Muir Lake",HiSeq X Ten,MUI036,MUI_036,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2022-08-31T00:00:00Z,2022-05-16T11:51:00Z,1,MUI_036,female,F,SRP375369,caudal fin
SRR19221330,WGS,302,7656617476,"Jon Mee\, Mount Royal University",PRJNA838068,SAMN28402708,Model organism or animal,3215016231,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,unspined,SRX15285180,Canada,North America,"Canada: Alberta\, Muir Lake",HiSeq X Ten,MUI037,MUI_037,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2022-08-31T00:00:00Z,2022-05-16T11:51:00Z,1,MUI_037,female,M,SRP375369,caudal fin
SRR19221329,WGS,302,6693507464,"Jon Mee\, Mount Royal University",PRJNA838068,SAMN28402709,Model organism or animal,2764907059,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,spined,SRX15285181,Canada,North America,"Canada: Alberta\, Muir Lake",HiSeq X Ten,MUI038,MUI_038,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2022-08-31T00:00:00Z,2022-05-16T11:51:00Z,1,MUI_038,male,F,SRP375369,caudal fin
SRR19221328,WGS,302,6946150396,"Jon Mee\, Mount Royal University",PRJNA838068,SAMN28402710,Model organism or animal,2898396955,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,unspined,SRX15285182,Canada,North America,"Canada: Alberta\, Muir Lake",HiSeq X Ten,MUI039,MUI_039,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2022-08-31T00:00:00Z,2022-05-16T11:52:00Z,1,MUI_039,female,M,SRP375369,caudal fin
SRR19221327,WGS,302,6612967386,"Jon Mee\, Mount Royal University",PRJNA838068,SAMN28402711,Model organism or animal,2739023172,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,spined,SRX15285183,Canada,North America,"Canada: Alberta\, Muir Lake",HiSeq X Ten,MUI040,MUI_040,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2022-08-31T00:00:00Z,2022-05-16T11:50:00Z,1,MUI_040,male,M,SRP375369,caudal fin
SRR19221326,WGS,302,7122784458,"Jon Mee\, Mount Royal University",PRJNA838068,SAMN28402712,Model organism or animal,2951379940,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,unspined,SRX15285184,Canada,North America,"Canada: Alberta\, Muir Lake",HiSeq X Ten,MUI041,MUI_041,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2022-08-31T00:00:00Z,2022-05-16T11:50:00Z,1,MUI_041,male,M,SRP375369,caudal fin
SRR19221325,WGS,302,9000110380,"Jon Mee\, Mount Royal University",PRJNA838068,SAMN28402713,Model organism or animal,2923942795,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,spined,SRX15285185,Canada,North America,"Canada: Alberta\, Muir Lake",Illumina NovaSeq 6000,MUI043,MUI_043,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2022-08-31T00:00:00Z,2022-05-16T11:49:00Z,1,MUI_043,male,F,SRP375369,caudal fin
SRR19221324,WGS,302,6721258244,"Jon Mee\, Mount Royal University",PRJNA838068,SAMN28402714,Model organism or animal,2786219040,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,unspined,SRX15285186,Canada,North America,"Canada: Alberta\, Muir Lake",HiSeq X Ten,MUI044,MUI_044,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2022-08-31T00:00:00Z,2022-05-16T12:15:00Z,1,MUI_044,female,M,SRP375369,caudal fin
SRR19221323,WGS,302,7456755990,"Jon Mee\, Mount Royal University",PRJNA838068,SAMN28402715,Model organism or animal,3099112446,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,unspined,SRX15285187,Canada,North America,"Canada: Alberta\, Muir Lake",HiSeq X Ten,MUI045,MUI_045,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2022-08-31T00:00:00Z,2022-05-16T11:46:00Z,1,MUI_045,male,M,SRP375369,caudal fin
SRR19221321,WGS,302,7192389720,"Jon Mee\, Mount Royal University",PRJNA838068,SAMN28402716,Model organism or animal,2989133670,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,spined,SRX15285189,Canada,North America,"Canada: Alberta\, Muir Lake",HiSeq X Ten,MUI047,MUI_047,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2022-08-31T00:00:00Z,2022-05-16T11:51:00Z,1,MUI_047,male,F,SRP375369,caudal fin
SRR19221320,WGS,302,8441602452,"Jon Mee\, Mount Royal University",PRJNA838068,SAMN28402717,Model organism or animal,2743803165,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,unspined,SRX15285190,Canada,North America,"Canada: Alberta\, Muir Lake",Illumina NovaSeq 6000,MUI048,MUI_048,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2022-08-31T00:00:00Z,2022-05-16T11:48:00Z,1,MUI_048,female,F,SRP375369,caudal fin
SRR19221319,WGS,302,10425400588,"Jon Mee\, Mount Royal University",PRJNA838068,SAMN28402718,Model organism or animal,3410913437,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,unspined,SRX15285191,Canada,North America,"Canada: Alberta\, Muir Lake",Illumina NovaSeq 6000,MUI049,MUI_049,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2022-08-31T00:00:00Z,2022-05-16T11:57:00Z,1,MUI_049,female,M,SRP375369,caudal fin
SRR19221318,WGS,302,9891733368,"Jon Mee\, Mount Royal University",PRJNA838068,SAMN28402719,Model organism or animal,3224428393,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,unspined,SRX15285192,Canada,North America,"Canada: Alberta\, Muir Lake",Illumina NovaSeq 6000,MUI050,MUI_050,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2022-08-31T00:00:00Z,2022-05-16T11:57:00Z,1,MUI_050,male,F,SRP375369,caudal fin
SRR19221317,WGS,302,7057483300,"Jon Mee\, Mount Royal University",PRJNA838068,SAMN28402720,Model organism or animal,2917175397,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,unspined,SRX15285193,Canada,North America,"Canada: Alberta\, Muir Lake",HiSeq X Ten,MUI051,MUI_051,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2022-08-31T00:00:00Z,2022-05-16T11:48:00Z,1,MUI_051,female,M,SRP375369,caudal fin
SRR19221316,WGS,302,6439398624,"Jon Mee\, Mount Royal University",PRJNA838068,SAMN28402721,Model organism or animal,2659306354,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,spined,SRX15285194,Canada,North America,"Canada: Alberta\, Muir Lake",HiSeq X Ten,MUI052,MUI_052,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2022-08-31T00:00:00Z,2022-05-16T13:46:00Z,1,MUI_052,female,F,SRP375369,caudal fin
SRR19221315,WGS,302,9388184910,"Jon Mee\, Mount Royal University",PRJNA838068,SAMN28402722,Model organism or animal,3077504177,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,intermediate,SRX15285195,Canada,North America,"Canada: Alberta\, Muir Lake",Illumina NovaSeq 6000,MUI053,MUI_053,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2022-08-31T00:00:00Z,2022-05-16T11:55:00Z,1,MUI_053,male,F,SRP375369,caudal fin
SRR19221314,WGS,302,10042695316,"Jon Mee\, Mount Royal University",PRJNA838068,SAMN28402723,Model organism or animal,3293451560,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,unspined,SRX15285196,Canada,North America,"Canada: Alberta\, Muir Lake",Illumina NovaSeq 6000,MUI054,MUI_054,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2022-08-31T00:00:00Z,2022-05-16T11:52:00Z,1,MUI_054,male,F,SRP375369,caudal fin
SRR19221313,WGS,302,6287742378,"Jon Mee\, Mount Royal University",PRJNA838068,SAMN28402724,Model organism or animal,2050058294,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,unspined,SRX15285197,Canada,North America,"Canada: Alberta\, Muir Lake",Illumina NovaSeq 6000,MUI055,MUI_055,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2022-08-31T00:00:00Z,2022-05-16T11:49:00Z,1,MUI_055,female,F,SRP375369,caudal fin
SRR19221312,WGS,302,6512351556,"Jon Mee\, Mount Royal University",PRJNA838068,SAMN28402725,Model organism or animal,2126022492,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,unspined,SRX15285198,Canada,North America,"Canada: Alberta\, Muir Lake",Illumina NovaSeq 6000,MUI056,MUI_056,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2022-08-31T00:00:00Z,2022-05-16T11:46:00Z,1,MUI_056,female,M,SRP375369,caudal fin
SRR19221310,WGS,302,7684372484,"Jon Mee\, Mount Royal University",PRJNA838068,SAMN28402726,Model organism or animal,3306952447,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,spined,SRX15285200,Canada,North America,"Canada: Alberta\, Muir Lake",HiSeq X Ten,MUI057,MUI_057,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2022-08-31T00:00:00Z,2022-05-16T12:12:00Z,1,MUI_057,male,M,SRP375369,caudal fin
SRR19221309,WGS,302,9381816334,"Jon Mee\, Mount Royal University",PRJNA838068,SAMN28402727,Model organism or animal,3063168306,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,unspined,SRX15285201,Canada,North America,"Canada: Alberta\, Muir Lake",Illumina NovaSeq 6000,MUI059,MUI_059,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2022-08-31T00:00:00Z,2022-05-16T11:47:00Z,1,MUI_059,male,M,SRP375369,caudal fin
SRR19221308,WGS,302,9263997074,"Jon Mee\, Mount Royal University",PRJNA838068,SAMN28402728,Model organism or animal,3004463149,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,unspined,SRX15285202,Canada,North America,"Canada: Alberta\, Muir Lake",Illumina NovaSeq 6000,MUI060,MUI_060,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2022-08-31T00:00:00Z,2022-05-16T12:45:00Z,1,MUI_060,male,F,SRP375369,caudal fin
SRR19221307,WGS,302,6385478638,"Jon Mee\, Mount Royal University",PRJNA838068,SAMN28402729,Model organism or animal,2082092004,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,spined,SRX15285203,Canada,North America,"Canada: Alberta\, Muir Lake",Illumina NovaSeq 6000,MUI061,MUI_061,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2022-08-31T00:00:00Z,2022-05-16T11:48:00Z,1,MUI_061,female,M,SRP375369,caudal fin
SRR19221306,WGS,302,6501785482,"Jon Mee\, Mount Royal University",PRJNA838068,SAMN28402730,Model organism or animal,2135926399,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,unspined,SRX15285204,Canada,North America,"Canada: Alberta\, Muir Lake",Illumina NovaSeq 6000,MUI062,MUI_062,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2022-08-31T00:00:00Z,2022-05-16T12:25:00Z,1,MUI_062,male,M,SRP375369,caudal fin
SRR19221305,WGS,302,7224245284,"Jon Mee\, Mount Royal University",PRJNA838068,SAMN28402731,Model organism or animal,2981060188,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,unspined,SRX15285205,Canada,North America,"Canada: Alberta\, Muir Lake",HiSeq X Ten,MUI063,MUI_063,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2022-08-31T00:00:00Z,2022-05-16T11:48:00Z,1,MUI_063,male,F,SRP375369,caudal fin
SRR19221304,WGS,302,6449717964,"Jon Mee\, Mount Royal University",PRJNA838068,SAMN28402732,Model organism or animal,2110142848,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,intermediate,SRX15285206,Canada,North America,"Canada: Alberta\, Muir Lake",Illumina NovaSeq 6000,MUI064,MUI_064,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2022-08-31T00:00:00Z,2022-05-16T11:48:00Z,1,MUI_064,female,F,SRP375369,caudal fin
